"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000211459",20.4741073697447,-0.21652946887916,0.600787704447695,-0.360409288133179,0.718541081773225,0.950383443371948
"ENSG00000210082",20.0409134076311,-0.39609988807668,0.548819555305527,-0.72173063850863,0.470460101196423,0.884305288115976
"ENSG00000198888",41195.1476263563,-0.000735648901216807,0.11835592196643,-0.00621556478961367,0.995040728749842,0.998882358561403
"ENSG00000210100",4.84597985360565,-0.0484471308195192,0.297076537142496,-0.163079626837985,0.870455740476354,0.9767475205024
"ENSG00000198763",41640.1649937831,0.00808888391993659,0.110025332467799,0.0735183774364319,0.941393620566828,0.989382845651716
"ENSG00000210135",248.495146701185,-0.0252324222179417,0.15940501015367,-0.158291274493926,0.874227283408751,0.977725301367777
"ENSG00000210140",222.598286654509,-0.0136299793207893,0.169884496775734,-0.0802308602578517,0.936053646331121,0.988195830166715
"ENSG00000210144",31.4959876183502,0.173027033447123,0.192816044107665,0.897368443833996,0.369522345341781,0.846177300675457
"ENSG00000198804",285035.693116616,-0.150533783261207,0.107273386103911,-1.4032724119978,0.160535621613536,0.732746781371315
"ENSG00000198712",37496.4542989038,-0.0256287336488367,0.157951023241949,-0.162257471479489,0.871103103658341,0.9767475205024
"ENSG00000228253",2548.06036728717,-0.0869422818271722,0.134658340915404,-0.645650920961454,0.51850545187724,0.899500681867624
"ENSG00000198899",41099.427573579,-0.137657021736999,0.103036096274045,-1.33600773626821,0.181546744681445,0.748129016761524
"ENSG00000198938",77467.2856746128,-0.236659344452474,0.123051458567195,-1.92325509350415,0.0544480212650348,0.600335699126009
"ENSG00000210164",16.6497911141139,0.0914180222468995,0.218893125082612,0.417637704301574,0.676212025351372,0.940272467539024
"ENSG00000198840",2120.28922723418,0.0259296912879786,0.125113227056781,0.207249800024827,0.83581477669446,0.96861766139365
"ENSG00000210174",12.7245028925015,0.141589668139788,0.219264640222995,0.645747841493228,0.518442671900285,0.899444220260875
